Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-2.0,-0.34,-1.0,0.0,0.0,-1.0,-0.17,0
2011,9.0,7.0,1.17,6.0,-8.0,-0.0,0.0,0.0,451
2012,9.0,4.0,0.68,5.0,-8.0,-0.0,3.0,0.5,-42
2013,13.0,4.0,0.68,6.0,-11.0,-0.0,2.0,0.33,0
2014,11.0,4.0,0.56,6.0,-19.0,-0.0,6.0,0.86,0
2015,21.0,7.0,1.01,13.0,-33.0,-0.0,8.0,1.14,74
2016,24.0,9.0,1.3,17.0,-48.0,-0.0,15.0,2.14,28
2017,25.0,9.0,1.3,18.0,-58.0,-0.0,11.0,1.57,0
2018,24.0,18.0,2.55,24.0,-80.0,-0.0,16.0,2.29,99
2019,36.0,23.0,3.27,27.0,-88.0,-0.0,20.0,2.86,27
