Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,64.0,4.0,0.28,3.0,0.0,0.0,-5.0,-0.36,0
2011,182.0,8.0,0.57,13.0,-39.0,-0.0,15.0,1.07,99
2012,168.0,3.0,0.21,1.0,-40.0,-0.0,3.0,0.21,-62
2013,101.0,2.0,0.14,2.0,-28.0,-0.0,3.0,0.21,-33
2014,82.0,0.0,0.0,0.0,-22.0,0.0,-8.0,0.0,-100
2015,76.0,-16.0,-1.13,0.0,-17.0,0.0,5.0,0.36,-160100
2016,74.0,-2.0,-0.14,5.0,-7.0,-0.0,-7.0,-0.5,87
2017,70.0,-2.0,-0.14,-2.0,-2.0,-0.0,-3.0,-0.21,0
2018,33.0,-11.0,-0.77,-6.0,8.0,0.0,-10.0,-0.71,-452
2019,61.0,-9.0,-0.63,1.0,3.0,3.0,-3.0,-0.21,18
