Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-2.0,-1.0,-2.0,0.0,0.0,-1.0,-0.5,0
2011,2.0,-2.0,-2.0,-2.0,2.0,0.0,-5.0,-5.0,0
2012,4.0,-4.0,-4.0,-4.0,0.0,0.0,-8.0,-8.0,-101
2013,6.0,-5.0,-5.0,-4.0,1.0,0.0,-10.0,-10.0,-25
2014,28.0,-7.0,-7.0,0.0,7.0,0.0,-5.0,-5.0,-40
2015,33.0,-13.0,-13.0,-2.0,8.0,0.0,-8.0,-8.0,-85
2016,39.0,-8.0,-8.0,2.0,8.0,4.0,-4.0,-4.0,38
2017,39.0,-5.0,-5.0,-4.0,8.0,0.0,-4.0,-4.0,37
2018,39.0,-6.0,-6.0,0.0,8.0,0.0,-2.0,-2.0,-20
2019,28.0,-16.0,-2.27,-13.0,5.0,0.0,-3.0,-0.43,-167
