Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1173.0,26.0,0.09,229.0,0.0,0.0,75.0,0.29,0
2011,2329.0,-8.0,0.08,443.0,3212.0,7.25,-150.0,1.5,-130
2012,2482.0,-923.0,0.11,-613.0,4696.0,0.0,21.0,0.0,-11451
2013,2892.0,-107.0,0.23,542.0,4208.0,7.76,474.0,-1.07,88
2014,2141.0,-41.0,0.11,403.0,3259.0,8.09,185.0,-0.54,61
2015,2197.0,48.0,0.55,453.0,3110.0,6.87,195.0,2.22,217
2016,2197.0,419.0,3.66,611.0,3036.0,4.97,526.0,4.61,772
2017,2400.0,188.0,1.63,768.0,2871.0,3.74,677.0,5.94,-55
2018,2625.0,112.0,1.29,782.0,3730.0,4.77,796.0,9.36,-40
2019,3325.0,156.0,1.36,789.0,3515.0,4.46,343.0,3.04,39
