Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,33796.0,-5331.0,-11.6,-10964.0,0.0,0.0,45196.0,98.47,0
2009,80285.0,-1511.0,-6.18,-4512.0,468272.0,0.0,-56874.0,-232.14,71
2010,86433.0,10883.0,3.56,14931.0,483750.0,32.4,33323.0,10.93,820
2011,77013.0,11215.0,3.62,17208.0,405941.0,23.59,61347.0,19.91,3
2012,69058.0,7760.0,2.43,10271.0,312050.0,30.38,-13966.0,-4.43,-30
2013,76528.0,13886.0,4.31,21035.0,303882.0,14.45,59754.0,18.68,78
2014,77203.0,7502.0,2.18,17588.0,301487.0,17.14,42957.0,12.6,-45
2015,76354.0,17332.0,5.37,28332.0,255176.0,9.01,36539.0,11.39,131
2016,115653.0,14975.0,4.7,114909.0,270988.0,2.36,50977.0,16.07,-13
2017,117442.0,-6738.0,-2.99,116416.0,318728.0,2.74,-12135.0,-5.37,-144
2018,119284.0,18080.0,6.65,120059.0,305271.0,2.54,33178.0,12.26,368
2019,101225.0,19467.0,8.58,-2307.0,318443.0,0.0,-18173.0,-8.02,7
