Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,161.0,48.0,1.55,22.0,0.0,0.0,6.0,0.19,0
2011,328.0,46.0,1.48,61.0,-39.0,-0.0,21.0,0.68,-4
2012,334.0,25.0,0.89,39.0,-47.0,-0.0,2.0,0.07,-45
2013,413.0,31.0,1.11,52.0,-51.0,-0.0,6.0,0.21,23
2014,465.0,38.0,1.32,62.0,-66.0,-0.0,36.0,1.24,22
2015,442.0,26.0,0.82,47.0,-50.0,-0.0,-2.0,-0.06,-31
2016,460.0,21.0,0.67,38.0,-20.0,-0.0,-24.0,-0.77,-19
2017,497.0,-20.0,-0.65,36.0,-20.0,-0.0,25.0,0.81,-195
2018,495.0,1.0,0.02,48.0,-34.0,-0.0,-11.0,-0.35,105
2019,438.0,2.0,6.84,51.0,-14.0,-0.0,-14.0,-14.0,98
