Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,198.0,91.0,3.03,133.0,0.0,0.0,49.0,1.63,0
2011,522.0,186.0,7.14,304.0,993.0,3.27,269.0,10.35,104
2012,545.0,217.0,8.68,353.0,1241.0,3.52,300.0,12.0,16
2013,680.0,251.0,10.89,410.0,1387.0,3.38,319.0,13.87,15
2014,722.0,265.0,12.02,432.0,1746.0,4.04,358.0,16.27,5
2015,824.0,299.0,14.95,487.0,2061.0,4.23,398.0,19.9,12
2016,967.0,330.0,16.5,545.0,2589.0,4.75,501.0,25.05,10
2017,1108.0,469.0,24.67,599.0,3061.0,5.11,558.0,29.37,42
2018,1284.0,573.0,30.13,772.0,3795.0,4.92,678.0,35.68,22
2019,1288.0,654.0,36.32,877.0,4351.0,4.96,785.0,43.61,14
