Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,807.0,32.0,0.54,46.0,0.0,0.0,35.0,0.58,0
2010,1657.0,79.0,1.32,198.0,-81.0,-0.0,126.0,2.1,146
2011,1755.0,93.0,1.59,203.0,-48.0,-0.0,119.0,2.05,17
2012,1806.0,97.0,1.76,212.0,-83.0,-0.0,108.0,1.96,4
2013,1877.0,113.0,2.09,238.0,-61.0,-0.0,99.0,1.83,16
2014,1975.0,100.0,1.96,226.0,-58.0,-0.0,124.0,2.43,-11
2015,2098.0,115.0,2.3,248.0,-43.0,-0.0,93.0,1.86,14
2016,2274.0,137.0,2.79,287.0,-53.0,-0.0,201.0,4.1,19
2017,2258.0,156.0,3.25,243.0,4.0,0.02,118.0,2.46,13
2018,2330.0,98.0,2.1,213.0,-16.0,-0.0,188.0,4.09,-37
2019,2481.0,125.0,2.83,190.0,232.0,1.22,144.0,3.27,27
