Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-2.0,-0.06,-1.0,0.0,0.0,-1.0,-0.03,0
2011,3.0,-4.0,-0.12,-4.0,-1.0,-0.0,-5.0,-0.14,-101
2012,2.0,-4.0,-0.44,-4.0,-5.0,-0.0,-3.0,-0.33,0
2013,3.0,-7.0,-0.7,-7.0,1.0,0.0,-7.0,-0.7,-75
2014,4.0,-4.0,-0.36,-4.0,1.0,0.0,-3.0,-0.27,42
2015,4.0,-11.0,-0.73,-11.0,-3.0,-0.0,-13.0,-0.87,-175
2016,4.0,-17.0,-0.94,-17.0,-2.0,-0.0,-16.0,-0.89,-54
2017,4.0,4.0,0.14,4.0,-13.0,-0.0,-15.0,-0.58,123
2018,4.0,-14.0,-0.46,-14.0,-6.0,-0.0,-13.0,-0.45,-449
2019,4.0,-6.0,-1.98,-6.0,-8.0,-0.0,-4.0,-1.33,57
