Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,10.0,-6.0,-1.5,0.0,0.0,0.0,0.0,0.0,0
2011,58.0,-22.0,-1.83,-13.0,-71.0,-0.0,-6.0,-0.5,-267
2012,82.0,-18.0,-0.72,-7.0,-54.0,-0.0,-2.0,-0.08,18
2013,105.0,-9.0,-0.35,1.0,-64.0,-0.0,5.0,0.19,49
2014,121.0,-9.0,-0.35,4.0,-61.0,-0.0,9.0,0.35,0
2015,135.0,-19.0,-0.71,-7.0,-64.0,-0.0,2.0,0.07,-111
2016,205.0,-3.0,-0.11,11.0,-59.0,-0.0,8.0,0.3,84
2017,238.0,-3.0,-0.11,8.0,-17.0,-0.0,14.0,0.52,0
2018,698.0,8.0,0.24,53.0,-80.0,-0.0,40.0,1.21,367
2019,951.0,-21.0,-2.42,74.0,492.0,6.65,75.0,8.33,-362
