Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,33.0,-38.0,-38.0,-20.0,68.0,0.0,4.0,4.0,0
2012,22.0,-21.0,-21.0,-19.0,-46.0,-0.0,26.0,26.0,44
2013,24.0,0.0,0.0,2.0,-22.0,-0.0,14.0,4.67,100
2014,24.0,0.0,0.0,0.0,-45.0,0.0,12.0,4.0,-100
2015,22.0,0.0,0.0,2.0,33.0,16.5,2.0,0.67,-100
2016,26.0,-1.0,-0.34,1.0,5.0,5.0,1.0,0.33,-10100
2017,23.0,-3.0,-1.0,0.0,-9.0,0.0,-3.0,-1.0,-203
2018,33.0,4.0,0.45,4.0,-96.0,-0.0,10.0,1.11,233
2019,20.0,-5.0,-1.65,-4.0,-10.0,-0.0,-12.0,-4.0,-224
2020,20.0,-4.0,-1.66,-4.0,-4.0,-0.0,-8.0,-4.0,19
