Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,4634.0,115.0,2.3,265.0,27.0,0.1,85.0,1.7,0
2011,5634.0,92.0,2.19,273.0,620.0,2.27,48.0,1.14,-20
2012,6985.0,112.0,2.95,310.0,622.0,2.01,56.0,1.47,21
2013,7249.0,102.0,2.68,309.0,686.0,2.22,-16.0,-0.42,-8
2014,7838.0,124.0,3.27,363.0,733.0,2.02,9.0,0.24,21
2015,7765.0,179.0,4.72,477.0,805.0,1.69,-10.0,-0.26,44
2016,7119.0,225.0,5.77,558.0,762.0,1.37,85.0,2.18,25
2017,7505.0,176.0,4.51,507.0,847.0,1.67,30.0,0.77,-21
2018,8389.0,315.0,8.51,484.0,1292.0,2.67,-152.0,-4.11,78
2019,9352.0,202.0,5.59,562.0,1237.0,2.2,142.0,3.94,-35
2020,9539.0,224.0,6.05,593.0,1325.0,2.23,110.0,2.97,10
