Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,329.0,12.0,0.16,15.0,2222.0,148.13,161.0,2.09,0
2011,362.0,99.0,1.27,167.0,1698.0,10.17,170.0,2.18,724
2012,366.0,117.0,1.49,199.0,1442.0,7.25,160.0,2.05,18
2013,384.0,122.0,1.55,207.0,1308.0,6.32,107.0,1.35,4
2014,381.0,136.0,1.71,225.0,838.0,3.72,143.0,1.79,11
2015,410.0,159.0,1.97,256.0,632.0,2.47,170.0,2.1,16
2016,448.0,174.0,2.2,282.0,618.0,2.19,229.0,2.9,9
2017,530.0,173.0,2.13,311.0,494.0,1.59,251.0,3.1,0
2018,595.0,269.0,3.31,376.0,511.0,1.36,329.0,4.06,55
2019,618.0,344.0,4.29,406.0,666.0,1.64,428.0,5.35,27
