Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,507.0,137.0,1.54,274.0,-129.0,-0.0,201.0,2.26,0
2012,511.0,155.0,1.79,273.0,-130.0,-0.0,199.0,2.29,13
2013,569.0,175.0,2.01,318.0,-168.0,-0.0,223.0,2.56,12
2014,614.0,188.0,2.21,352.0,-136.0,-0.0,260.0,3.06,7
2015,662.0,203.0,2.45,364.0,-96.0,-0.0,205.0,2.47,7
2016,701.0,184.0,2.27,335.0,-93.0,-0.0,185.0,2.28,-9
2017,2227.0,400.0,3.74,525.0,1199.0,2.28,338.0,3.16,117
2018,2192.0,424.0,3.77,2707.0,1020.0,0.38,498.0,4.45,5
2019,4393.0,369.0,3.3,4513.0,737.0,0.16,598.0,5.39,-12
2020,3791.0,431.0,3.87,3375.0,832.0,0.25,638.0,5.8,16
