Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2716.0,169.0,2.69,347.0,265.0,0.76,147.0,2.33,0
2011,3102.0,258.0,4.04,382.0,413.0,1.08,-29.0,-0.45,52
2012,3291.0,406.0,6.44,442.0,1299.0,2.94,136.0,2.16,57
2013,3456.0,160.0,2.54,457.0,1203.0,2.63,194.0,3.08,-60
2014,3647.0,218.0,3.4,561.0,1005.0,1.79,359.0,5.61,36
2015,2871.0,-326.0,-5.17,-145.0,916.0,0.0,358.0,5.68,-249
2016,2411.0,164.0,2.65,404.0,722.0,1.79,296.0,4.77,150
2017,2717.0,266.0,4.28,487.0,644.0,1.32,193.0,3.11,62
2018,3242.0,-74.0,-1.22,310.0,828.0,2.67,108.0,1.77,-127
2019,3337.0,186.0,3.18,453.0,895.0,1.98,139.0,2.4,351
2020,3243.0,155.0,2.66,435.0,933.0,2.14,269.0,4.72,-16
