Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,40.0,2.0,0.0,13.0,0.0,0.0,8.0,0.0,0
2011,93.0,8.0,0.88,25.0,-17.0,-0.0,9.0,1.0,298
2012,106.0,14.0,1.55,31.0,-2.0,-0.0,11.0,1.22,74
2013,119.0,16.0,1.77,32.0,20.0,0.63,5.0,0.56,14
2014,280.0,10.0,3.32,65.0,505.0,7.77,-3.0,-1.0,-37
2015,455.0,-148.0,-4.49,-28.0,556.0,0.0,7.0,0.21,-1578
2016,310.0,-136.0,-4.11,-24.0,484.0,0.0,50.0,1.52,8
2017,294.0,-38.0,-1.09,76.0,505.0,6.64,13.0,0.37,72
2018,437.0,-34.0,-0.81,90.0,618.0,6.87,-73.0,-1.78,10
2019,9.0,-18.0,-0.37,113.0,636.0,5.63,2.0,0.04,47
