Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1396.0,-33.0,-0.08,304.0,0.0,0.0,146.0,0.41,0
2011,3003.0,28.0,0.13,735.0,2003.0,2.73,224.0,1.12,184
2012,2946.0,-159.0,0.18,672.0,4383.0,6.52,129.0,-0.15,-667
2013,2945.0,-26.0,0.09,700.0,4620.0,6.6,241.0,-0.74,83
2014,2960.0,16.0,0.26,710.0,4747.0,6.69,130.0,2.2,161
2015,2805.0,-70.0,0.26,655.0,4698.0,7.17,69.0,-0.27,-537
2016,2679.0,158.0,0.81,915.0,4834.0,5.28,884.0,4.49,325
2017,2587.0,-625.0,0.78,-259.0,5123.0,0.0,8.0,-0.01,-495
2018,2719.0,-201.0,0.6,545.0,5096.0,9.35,-16.0,0.05,67
2019,2685.0,-361.0,-0.1,515.0,4745.0,9.21,-94.0,-0.01,-79
