Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,130.0,-2.0,-0.04,18.0,0.0,0.0,3.0,0.07,0
2011,304.0,7.0,0.15,95.0,24.0,0.25,30.0,0.67,451
2012,314.0,-5.0,-0.1,97.0,20.0,0.21,35.0,0.78,-171
2013,345.0,56.0,1.21,116.0,39.0,0.34,31.0,0.67,1222
2014,377.0,0.0,0.0,123.0,-77.0,-0.0,13.0,0.28,-100
2015,403.0,5.0,0.11,132.0,248.0,1.88,50.0,1.11,49900
2016,445.0,13.0,0.3,140.0,291.0,2.08,61.0,1.39,159
2017,483.0,5.0,0.12,152.0,320.0,2.11,66.0,1.47,-61
2018,519.0,27.0,0.58,166.0,362.0,2.18,85.0,1.89,438
2019,544.0,36.0,0.77,181.0,391.0,2.16,102.0,2.22,33
