Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,232.0,2.0,0.06,5.0,0.0,0.0,0.0,0.0,0
2011,439.0,4.0,0.12,15.0,52.0,3.47,13.0,0.42,99
2012,440.0,-41.0,-1.37,-15.0,26.0,0.0,4.0,0.13,-1122
2013,437.0,-51.0,-1.65,-1.0,3.0,0.0,5.0,0.16,-24
2014,616.0,-31.0,-1.01,-17.0,74.0,0.0,-10.0,-0.32,39
2015,765.0,5.0,0.15,20.0,87.0,4.35,13.0,0.41,116
2016,831.0,9.0,0.26,21.0,66.0,3.14,24.0,0.67,79
2017,863.0,39.0,1.08,24.0,73.0,3.04,39.0,1.08,332
2018,814.0,-18.0,-0.52,-1.0,66.0,0.0,15.0,0.43,-146
2019,821.0,-55.0,-1.54,-3.0,69.0,0.0,1.0,0.03,-205
