Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,425.0,-88.0,-0.33,-34.0,0.0,0.0,13.0,0.05,0
2010,934.0,126.0,0.48,85.0,-20.0,-0.0,166.0,0.63,243
2011,1149.0,70.0,0.03,258.0,-179.0,-0.0,209.0,0.15,-44
2012,1324.0,438.0,1.55,333.0,-379.0,-0.0,278.0,1.0,525
2013,1458.0,162.0,0.54,318.0,-308.0,-0.0,323.0,1.12,-63
2014,1579.0,158.0,0.43,349.0,-332.0,-0.0,277.0,0.77,-2
2015,1700.0,251.0,0.43,421.0,-367.0,-0.0,332.0,0.58,58
2016,1814.0,201.0,0.42,379.0,225.0,0.59,392.0,0.86,-19
2017,1941.0,204.0,0.6,455.0,41.0,0.09,413.0,1.24,1
2018,2136.0,344.0,1.21,516.0,-88.0,-0.0,543.0,1.95,68
2019,2334.0,987.0,3.51,620.0,-359.0,-0.0,655.0,2.34,186
2020,2375.0,990.0,3.53,625.0,-250.0,-0.0,680.0,2.44,0
