Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3.0,-2.0,-0.04,-1.0,0.0,0.0,-2.0,-0.03,0
2011,5.0,-6.0,-0.08,-6.0,0.0,0.0,-6.0,-0.09,-201
2012,9.0,-9.0,-0.09,-9.0,0.0,0.0,-13.0,-0.14,-50
2013,8.0,-4.0,-0.04,-4.0,-1.0,-0.0,-8.0,-0.08,55
2014,14.0,-4.0,-0.12,-4.0,-1.0,-0.0,-8.0,-0.23,0
2015,18.0,-4.0,-0.12,-2.0,-1.0,-0.0,-6.0,-0.18,0
2016,19.0,-3.0,-0.09,-1.0,0.0,0.0,-7.0,-0.19,24
2017,20.0,-9.0,-0.21,-14.0,-44.0,-0.0,-8.0,-0.19,-201
2018,30.0,-32.0,-0.56,-30.0,-21.0,-0.0,-23.0,-0.43,-255
2019,46.0,-30.0,-0.52,-28.0,-18.0,-0.0,-24.0,-0.42,6
