Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3753.0,622.0,9.28,-147.0,0.0,0.0,575.0,8.58,0
2011,17.0,6.0,0.76,2.0,-1.0,-0.0,0.0,0.0,-99
2012,24.0,2.0,0.26,2.0,0.0,0.0,-4.0,-0.5,-66
2013,27.0,0.0,0.0,0.0,-9.0,0.0,-2.0,-0.22,-100
2014,26.0,-4.0,-0.44,-4.0,-3.0,-0.0,-7.0,-0.78,-40099
2015,22.0,-4.0,-0.44,-4.0,-5.0,-0.0,-3.0,-0.33,0
2016,16.0,-13.0,-1.3,-6.0,-10.0,-0.0,-7.0,-0.7,-225
2017,22.0,-5.0,-0.41,-4.0,-2.0,-0.0,-7.0,-0.58,61
2018,14.0,-7.0,-0.49,-7.0,-10.0,-0.0,-14.0,-1.0,-40
2019,32.0,-11.0,-0.66,-9.0,0.0,0.0,-11.0,-0.69,-57
