Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,9.0,-8.0,-0.21,-3.0,0.0,0.0,-2.0,-0.05,0
2011,28.0,-16.0,-0.34,-14.0,-20.0,-0.0,-18.0,-0.38,-100
2012,35.0,-13.0,-0.24,-13.0,-20.0,-0.0,-13.0,-0.24,18
2013,38.0,-41.0,-0.61,-40.0,-54.0,-0.0,-28.0,-0.42,-215
2014,34.0,-38.0,-0.49,-35.0,-41.0,-0.0,-41.0,-0.54,7
2015,32.0,-53.0,-0.56,-54.0,-89.0,-0.0,-52.0,-0.54,-39
2016,36.0,-61.0,-0.61,-56.0,-53.0,-0.0,-56.0,-0.55,-15
2017,41.0,-59.0,-0.55,-50.0,-31.0,-0.0,-52.0,-0.48,3
2018,75.0,-56.0,-0.4,-49.0,-87.0,-0.0,-33.0,-0.25,5
2019,26.0,-68.0,-0.47,-62.0,-40.0,-0.0,-72.0,-0.52,-21
