Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1.0,-1.0,-0.03,0.0,0.0,0.0,0.0,0.0,0
2011,12.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,504
2012,10.0,4.0,0.12,2.0,0.0,0.0,2.0,0.05,0
2013,12.0,4.0,0.12,2.0,0.0,0.0,0.0,0.0,0
2014,45.0,4.0,0.68,2.0,10.0,5.0,-5.0,-0.83,0
2015,55.0,4.0,0.68,4.0,9.0,2.25,1.0,0.17,0
2016,91.0,5.0,0.64,8.0,18.0,2.25,6.0,0.75,24
2017,118.0,4.0,0.4,7.0,5.0,0.71,-2.0,-0.2,-20
2018,88.0,-7.0,-0.64,-6.0,17.0,0.0,-13.0,-1.18,-274
2019,-1.0,-20.0,-10.0,-5.0,9.0,0.0,0.0,0.0,-186
2020,-6.0,-19.0,-9.25,-3.0,8.0,0.0,-6.0,-1.5,4
