Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,11.0,-4.0,-0.23,-2.0,0.0,0.0,3.0,0.17,0
2011,20.0,2.0,0.1,-16.0,9.0,0.0,9.0,0.45,150
2012,12.0,-5.0,-0.27,-7.0,19.0,0.0,-16.0,-0.84,-348
2013,53.0,4.0,0.2,4.0,14.0,3.5,-8.0,-0.4,180
2014,45.0,-3.0,-1.0,-3.0,23.0,0.0,-8.0,-2.67,-174
2015,60.0,-2.0,-0.66,-4.0,14.0,0.0,2.0,0.67,33
2016,39.0,-6.0,-1.99,-6.0,22.0,0.0,-14.0,-4.67,-201
2017,43.0,-5.0,-1.66,-5.0,23.0,0.0,1.0,0.33,16
2018,26.0,-4.0,-1.32,-10.0,9.0,0.0,9.0,3.0,19
2019,23.0,0.0,0.0,2.0,-1.0,-0.0,3.0,0.5,100
