Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,71.0,19.0,1.27,14.0,0.0,0.0,6.0,0.4,0
2011,146.0,38.0,2.53,67.0,-271.0,-0.0,54.0,3.6,99
2012,150.0,37.0,2.63,63.0,-127.0,-0.0,47.0,3.36,-2
2013,180.0,46.0,3.08,67.0,-145.0,-0.0,70.0,4.67,24
2014,174.0,50.0,3.33,77.0,12.0,0.16,47.0,3.13,8
2015,181.0,51.0,3.4,81.0,112.0,1.38,42.0,2.8,1
2016,176.0,50.0,3.58,82.0,202.0,2.46,58.0,4.14,-1
2017,187.0,52.0,3.47,96.0,214.0,2.23,72.0,4.8,3
2018,198.0,67.0,4.45,92.0,210.0,2.28,66.0,4.4,28
2019,227.0,87.0,5.42,117.0,127.0,1.09,97.0,6.06,29
