Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1278.0,79.0,3.59,182.0,110.0,0.6,60.0,2.73,0
2011,1354.0,84.0,4.2,190.0,128.0,0.67,144.0,7.2,6
2012,1428.0,87.0,4.83,199.0,105.0,0.53,96.0,5.33,3
2013,1411.0,75.0,4.16,180.0,99.0,0.55,122.0,6.78,-13
2014,1455.0,97.0,5.71,207.0,133.0,0.64,67.0,3.94,29
2015,1541.0,107.0,6.69,217.0,76.0,0.35,128.0,8.0,10
2016,1575.0,106.0,6.63,215.0,93.0,0.43,96.0,6.0,0
2017,1665.0,97.0,6.07,157.0,90.0,0.57,97.0,6.06,-8
2018,1781.0,203.0,12.67,283.0,85.0,0.3,234.0,14.63,109
2019,1937.0,217.0,13.55,309.0,84.0,0.27,248.0,15.5,6
2020,1990.0,228.0,14.23,330.0,132.0,0.4,258.0,16.13,5
