Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,7059.0,-237.0,0.2,2618.0,12302.0,4.7,719.0,-0.64,0
2011,7204.0,-369.0,0.19,2662.0,12854.0,4.83,338.0,-0.19,-55
2012,7504.0,-304.0,0.19,2673.0,12801.0,4.79,150.0,-0.1,17
2013,8155.0,-169.0,0.61,2817.0,14160.0,5.03,-343.0,1.26,44
2014,9108.0,-183.0,0.6,3103.0,20884.0,6.73,149.0,-0.51,-8
2015,9754.0,-271.0,1.14,3256.0,35718.0,10.97,519.0,-2.21,-48
2016,29003.0,3745.0,18.08,10189.0,60212.0,5.91,-26094.0,-126.06,1481
2017,41581.0,10115.0,34.15,14463.0,69610.0,4.81,3264.0,11.03,170
2018,43634.0,1506.0,5.21,15237.0,72276.0,4.74,2642.0,9.17,-85
2019,45764.0,1992.0,8.92,16073.0,75595.0,4.7,4553.0,20.42,32
2020,46296.0,2142.0,9.7,16205.0,76784.0,4.74,5291.0,24.96,7
