Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1853.0,152.0,0.93,201.0,0.0,0.0,194.0,1.19,0
2010,3718.0,375.0,2.28,539.0,471.0,0.87,514.0,3.15,146
2011,3749.0,164.0,1.0,215.0,487.0,2.27,240.0,1.48,-56
2012,4057.0,421.0,2.56,610.0,444.0,0.73,632.0,3.88,156
2013,4477.0,517.0,3.11,764.0,506.0,0.66,789.0,4.78,22
2014,4892.0,525.0,3.16,772.0,280.0,0.36,864.0,5.24,1
2015,5089.0,634.0,3.82,933.0,312.0,0.33,1065.0,6.45,20
2016,5396.0,591.0,3.55,860.0,69.0,0.08,1102.0,6.64,-6
2017,5679.0,1045.0,6.28,785.0,194.0,0.25,1036.0,6.24,76
2018,5354.0,287.0,1.76,314.0,82.0,0.26,1161.0,7.08,-72
2019,7871.0,1997.0,12.24,2544.0,118.0,0.05,1184.0,7.26,595
2020,5613.0,76.0,0.42,104.0,474.0,4.56,1147.0,7.08,-96
