Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,42.0,4.0,0.8,7.0,-21.0,-0.0,4.0,0.8,0
2012,47.0,5.0,0.7,9.0,-21.0,-0.0,4.0,0.57,24
2013,47.0,5.0,1.0,9.0,-18.0,-0.0,3.0,0.6,0
2014,59.0,6.0,0.98,13.0,-19.0,-0.0,7.0,1.17,19
2015,60.0,5.0,0.81,10.0,-17.0,-0.0,5.0,0.83,-16
2016,59.0,5.0,1.25,12.0,-11.0,-0.0,3.0,0.75,0
2017,67.0,6.0,0.98,13.0,-9.0,-0.0,6.0,1.0,19
2018,67.0,6.0,0.73,9.0,-7.0,-0.0,7.0,0.88,0
2019,70.0,8.0,0.88,15.0,-17.0,-0.0,11.0,1.22,33
2020,77.0,10.0,1.1,19.0,-20.0,-0.0,13.0,1.44,24
