Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,6.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0
2011,34.0,6.0,0.54,4.0,-12.0,-0.0,3.0,0.27,494
2012,36.0,7.0,0.57,4.0,-14.0,-0.0,0.0,0.0,16
2013,52.0,5.0,0.5,6.0,-14.0,-0.0,1.0,0.1,-28
2014,57.0,4.0,0.32,8.0,-24.0,-0.0,5.0,0.42,-20
2015,58.0,4.0,0.4,7.0,-25.0,-0.0,1.0,0.1,0
2016,73.0,6.0,0.54,10.0,-33.0,-0.0,6.0,0.55,49
2017,72.0,4.0,0.28,4.0,-23.0,-0.0,1.0,0.08,-33
2018,75.0,2.0,0.5,7.0,-16.0,-0.0,2.0,0.5,-50
2019,83.0,4.0,0.36,6.0,-23.0,-0.0,9.0,0.82,99
2020,83.0,4.0,0.32,6.0,-22.0,-0.0,3.0,0.23,0
