Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,19.0,2.0,0.22,1.0,0.0,0.0,0.0,0.0,0
2011,43.0,6.0,0.66,10.0,-16.0,-0.0,1.0,0.11,198
2012,45.0,27.0,3.0,42.0,-55.0,-0.0,39.0,4.33,349
2013,48.0,4.0,0.44,7.0,-20.0,-0.0,-15.0,-1.67,-85
2014,56.0,5.0,0.55,8.0,-13.0,-0.0,1.0,0.11,24
2015,56.0,5.0,0.55,11.0,-20.0,-0.0,5.0,0.56,0
2016,46.0,2.0,0.22,3.0,-17.0,-0.0,6.0,0.67,-60
2017,40.0,-14.0,-1.77,-16.0,-7.0,-0.0,-9.0,-1.13,-796
2018,26.0,-15.0,-1.87,-7.0,-12.0,-0.0,-10.0,-1.25,-7
2019,23.0,-6.0,-0.36,-4.0,-5.0,-0.0,-10.0,-0.63,59
