Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-6.0,-0.5,-4.0,0.0,0.0,-4.0,-0.33,0
2011,2.0,-21.0,-5.25,-21.0,-28.0,-0.0,-23.0,-5.75,-250
2012,0.0,-26.0,-3.72,-25.0,-18.0,-0.0,-23.0,-3.29,-23
2013,4.0,-7.0,-0.53,-6.0,-36.0,-0.0,-10.0,-0.77,73
2014,4.0,-23.0,-1.27,-23.0,-27.0,-0.0,-22.0,-1.22,-229
2015,4.0,-21.0,-1.0,-19.0,-13.0,-0.0,-22.0,-1.05,8
2016,4.0,-20.0,-20.0,-19.0,-1.0,-0.0,-17.0,-17.0,4
2017,4.0,-18.0,-2.56,-17.0,-23.0,-0.0,-18.0,-2.57,9
2018,4.0,-11.0,-0.64,-20.0,-18.0,-0.0,-10.0,-0.59,38
2019,4.0,-15.0,-0.69,-15.0,-6.0,-0.0,-22.0,-1.05,-36
