Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1400.0,37.0,-0.2,-21.0,10878.0,0.0,173.0,-0.98,0
2010,2435.0,277.0,0.86,465.0,5600.0,12.04,1286.0,4.1,648
2011,2445.0,393.0,2.08,691.0,4032.0,5.84,796.0,4.23,41
2012,2598.0,521.0,2.66,943.0,3435.0,3.64,692.0,3.55,32
2013,2554.0,541.0,2.83,931.0,2656.0,2.85,836.0,4.42,3
2014,2512.0,593.0,3.15,1006.0,1765.0,1.75,639.0,3.42,9
2015,0.0,0.0,0.0,131.0,1924.0,14.69,865.0,865.0,-100
2016,2848.0,477.0,2.66,799.0,3936.0,4.93,486.0,2.73,4769900
2017,3168.0,743.0,4.13,1297.0,3194.0,2.46,1085.0,6.06,55
2018,3328.0,1235.0,7.16,1627.0,5117.0,3.15,1616.0,9.4,66
2019,3349.0,1198.0,7.97,1648.0,6367.0,3.86,1090.0,7.27,-2
2020,3255.0,794.0,5.25,1136.0,8849.0,7.79,1749.0,12.4,-33
