Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,320.0,18.0,0.5,42.0,6.0,0.14,22.0,0.59,0
2012,385.0,30.0,0.77,65.0,60.0,0.92,45.0,1.15,66
2013,423.0,37.0,0.93,79.0,61.0,0.77,45.0,1.13,23
2014,488.0,42.0,1.06,87.0,49.0,0.56,50.0,1.25,13
2015,563.0,47.0,1.15,101.0,47.0,0.47,45.0,1.1,11
2016,663.0,59.0,1.44,120.0,88.0,0.73,62.0,1.51,25
2017,768.0,69.0,1.68,143.0,90.0,0.63,80.0,1.95,16
2018,870.0,88.0,2.15,156.0,103.0,0.66,89.0,2.17,27
2019,916.0,53.0,4.06,125.0,186.0,1.49,-28.0,-2.15,-39
2020,1846.0,19.0,1.29,121.0,856.0,7.07,26.0,0.58,-64
