Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,33.0,5.0,1.0,4.0,0.0,0.0,10.0,2.0,0
2011,70.0,15.0,3.0,22.0,216.0,9.82,18.0,3.6,199
2012,77.0,16.0,1.77,25.0,270.0,10.8,25.0,2.78,6
2013,77.0,19.0,3.8,25.0,411.0,16.44,21.0,4.2,18
2014,79.0,19.0,2.12,24.0,338.0,14.08,21.0,2.33,0
2015,83.0,20.0,2.23,25.0,381.0,15.24,10.0,1.11,5
2016,88.0,23.0,2.57,27.0,275.0,10.19,20.0,2.22,14
2017,101.0,23.0,2.56,35.0,185.0,5.29,22.0,2.44,0
2018,106.0,33.0,3.65,37.0,50.0,1.35,39.0,4.33,43
2019,113.0,38.0,5.4,36.0,415.0,11.53,46.0,6.57,15
