Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1157.0,111.0,2.47,254.0,607.0,2.39,195.0,4.33,0
2011,1329.0,174.0,3.79,301.0,374.0,1.24,231.0,5.02,56
2012,1444.0,246.0,5.23,398.0,361.0,0.91,215.0,4.57,41
2013,1585.0,295.0,6.14,445.0,266.0,0.6,237.0,4.94,19
2014,1715.0,270.0,5.63,441.0,1356.0,3.07,217.0,4.52,-8
2015,1795.0,203.0,4.23,424.0,1332.0,3.14,147.0,3.06,-24
2016,1964.0,273.0,5.68,518.0,1233.0,2.38,355.0,7.4,34
2017,2138.0,370.0,7.71,615.0,1084.0,1.76,467.0,9.73,35
2018,2532.0,138.0,2.81,688.0,1945.0,2.83,476.0,9.71,-62
2019,2652.0,466.0,9.32,824.0,1736.0,2.11,420.0,8.4,237
2020,2670.0,453.0,9.09,823.0,1700.0,2.07,458.0,9.35,-2
