Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3827.0,14.0,1.28,14.0,0.0,0.0,56.0,5.09,0
2011,8113.0,26.0,2.36,67.0,48.0,0.72,-12.0,-1.09,85
2012,8890.0,32.0,1.38,80.0,65.0,0.81,45.0,1.96,23
2013,9765.0,40.0,1.74,94.0,46.0,0.49,41.0,1.78,24
2014,10278.0,41.0,0.88,98.0,54.0,0.55,9.0,0.2,2
2015,11068.0,50.0,1.09,121.0,48.0,0.4,41.0,0.89,21
2016,14527.0,52.0,1.13,132.0,321.0,2.43,-158.0,-3.43,3
2017,15686.0,31.0,0.67,93.0,471.0,5.06,43.0,0.93,-40
2018,16393.0,45.0,0.97,132.0,319.0,2.42,189.0,4.11,45
2019,16669.0,56.0,1.19,151.0,368.0,2.44,63.0,1.37,24
