Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,10.0,-4.0,-0.12,-4.0,0.0,0.0,-7.0,-0.21,0
2012,12.0,-2.0,-0.06,0.0,-8.0,0.0,-3.0,-0.08,49
2013,14.0,0.0,0.0,0.0,-11.0,0.0,-4.0,-0.1,100
2014,9.0,-6.0,-0.14,-6.0,-7.0,-0.0,-6.0,-0.14,-60100
2015,11.0,-4.0,-1.0,-4.0,-2.0,-0.0,-8.0,-2.0,33
2016,10.0,-4.0,-1.0,-4.0,-2.0,-0.0,-8.0,-2.0,0
2017,9.0,-4.0,-1.0,-4.0,-2.0,-0.0,-6.0,-1.5,0
2018,11.0,-2.0,-0.4,-5.0,-2.0,-0.0,-8.0,-1.6,49
2019,8.0,-5.0,-1.0,-5.0,2.0,0.0,-8.0,-1.6,-151
2020,8.0,-4.0,-0.68,-4.0,3.0,0.0,-8.0,-1.33,19
