Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,80.0,-88.0,-88.0,-81.0,0.0,0.0,145.0,145.0,0
2011,172.0,35.0,0.98,59.0,83.0,1.41,20.0,0.57,139
2012,178.0,45.0,1.08,78.0,52.0,0.67,34.0,0.83,28
2013,185.0,171.0,4.16,85.0,55.0,0.65,79.0,1.93,279
2014,181.0,39.0,1.04,78.0,58.0,0.74,64.0,1.73,-77
2015,182.0,44.0,1.36,94.0,90.0,0.96,67.0,2.09,12
2016,198.0,46.0,1.46,97.0,152.0,1.57,70.0,2.26,4
2017,202.0,40.0,1.32,98.0,49.0,0.5,91.0,3.03,-13
2018,211.0,58.0,1.98,97.0,239.0,2.46,97.0,3.34,44
2019,223.0,57.0,2.03,94.0,173.0,1.84,63.0,2.25,-1
