Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,23.0,-2.0,-0.5,1.0,0.0,0.0,-3.0,-0.75,0
2011,38.0,2.0,0.5,4.0,-9.0,-0.0,-2.0,-0.5,200
2012,43.0,2.0,0.5,4.0,-10.0,-0.0,-1.0,-0.25,0
2013,46.0,4.0,1.0,4.0,-9.0,-0.0,-3.0,-0.75,99
2014,47.0,4.0,1.0,5.0,-9.0,-0.0,1.0,0.25,0
2015,49.0,4.0,1.0,5.0,-8.0,-0.0,1.0,0.25,0
2016,50.0,5.0,1.25,8.0,-7.0,-0.0,0.0,0.0,24
2017,54.0,4.0,1.0,5.0,-9.0,-0.0,0.0,0.0,-20
2018,58.0,5.0,1.25,8.0,-4.0,-0.0,4.0,1.0,24
2019,57.0,4.0,1.0,5.0,-1.0,-0.0,-8.0,-2.0,-20
