Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,22.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0
2011,50.0,5.0,0.25,8.0,-66.0,-0.0,3.0,0.15,148
2012,47.0,4.0,0.2,9.0,-66.0,-0.0,1.0,0.05,-20
2013,31.0,-2.0,-0.12,-3.0,-54.0,-0.0,-4.0,-0.22,-149
2014,35.0,4.0,0.24,4.0,-53.0,-0.0,2.0,0.12,301
2015,31.0,4.0,0.24,4.0,-51.0,-0.0,4.0,0.24,0
2016,31.0,-2.0,-0.12,2.0,-45.0,-0.0,0.0,0.0,-149
2017,39.0,-8.0,-0.54,-2.0,-40.0,-0.0,-5.0,-0.33,-302
2018,39.0,-6.0,-0.38,-4.0,-15.0,-0.0,0.0,0.0,24
2019,45.0,-4.0,-0.24,2.0,-10.0,-0.0,-2.0,-0.13,33
