Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,11.0,2.0,0.16,1.0,0.0,0.0,-2.0,-0.17,0
2011,17.0,2.0,0.16,2.0,0.0,0.0,-2.0,-0.17,0
2012,12.0,-4.0,-0.32,-4.0,0.0,0.0,-6.0,-0.5,-299
2013,20.0,4.0,0.32,4.0,0.0,0.0,-2.0,-0.15,200
2014,21.0,2.0,0.16,4.0,-2.0,-0.0,-2.0,-0.15,-50
2015,20.0,4.0,0.32,4.0,-3.0,-0.0,-2.0,-0.15,99
2016,13.0,-2.0,-0.16,-2.0,-3.0,-0.0,-4.0,-0.31,-149
2017,12.0,-2.0,-0.16,-2.0,-1.0,-0.0,-8.0,-0.62,0
2018,21.0,-5.0,-0.36,0.0,-1.0,0.0,-6.0,-0.46,-151
2019,20.0,0.0,0.0,0.0,1.0,0.0,-6.0,-0.46,100
