Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,88.0,4.0,0.44,7.0,4.0,0.57,-2.0,-0.22,0
2012,83.0,4.0,0.44,7.0,-1.0,-0.0,3.0,0.33,0
2013,77.0,4.0,0.44,7.0,-1.0,-0.0,5.0,0.56,0
2014,80.0,5.0,0.55,9.0,-1.0,-0.0,-2.0,-0.22,24
2015,84.0,6.0,0.6,8.0,-1.0,-0.0,0.0,0.0,19
2016,82.0,6.0,0.6,9.0,-7.0,-0.0,5.0,0.5,0
2017,64.0,4.0,0.4,7.0,-7.0,-0.0,8.0,0.8,-33
2018,68.0,4.0,0.4,5.0,8.0,1.6,-4.0,-0.4,0
2019,74.0,4.0,0.4,7.0,3.0,0.43,7.0,0.7,0
2020,72.0,5.0,0.5,9.0,-1.0,-0.0,4.0,0.4,24
