Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,36117.0,6134.0,1.06,8962.0,-24706.0,-0.0,8892.0,1.53,0
2010,40040.0,7767.0,1.35,11433.0,-24577.0,-0.0,9165.0,1.6,26
2011,43218.0,6490.0,1.18,10298.0,-27763.0,-0.0,8905.0,1.61,-16
2012,46061.0,8041.0,1.5,12313.0,-32388.0,-0.0,10415.0,1.94,23
2013,48607.0,9983.0,1.88,13616.0,-34399.0,-0.0,11875.0,2.23,24
2014,47142.0,7853.0,1.5,12027.0,-31229.0,-0.0,11289.0,2.16,-21
2015,49161.0,8981.0,1.76,13440.0,-35062.0,-0.0,11347.0,2.22,14
2016,49247.0,10739.0,2.12,14741.0,-37113.0,-0.0,12465.0,2.47,19
2017,48005.0,9609.0,1.91,14096.0,-36775.0,-0.0,12919.0,2.58,-10
2018,49330.0,110.0,0.02,14666.0,-20979.0,-0.0,12891.0,2.64,-98
2019,70899.0,11621.0,1.98,16019.0,-8747.0,-0.0,14944.0,2.57,10463
2020,61272.0,11054.0,2.24,16002.0,-11069.0,-0.0,14974.0,3.52,-4
