Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,264.0,22.0,0.34,33.0,0.0,0.0,16.0,0.25,0
2011,733.0,41.0,1.23,168.0,151.0,0.9,41.0,1.24,86
2012,756.0,46.0,1.43,167.0,106.0,0.63,95.0,2.97,12
2013,746.0,43.0,1.35,138.0,55.0,0.4,97.0,3.03,-6
2014,750.0,34.0,1.02,129.0,54.0,0.42,58.0,1.76,-20
2015,750.0,60.0,1.81,161.0,38.0,0.24,117.0,3.55,76
2016,760.0,60.0,1.82,163.0,99.0,0.61,70.0,2.12,0
2017,788.0,59.0,1.85,148.0,70.0,0.47,98.0,3.06,-1
2018,874.0,65.0,2.01,169.0,197.0,1.17,87.0,2.72,10
2019,994.0,81.0,2.51,147.0,174.0,1.18,123.0,3.84,24
