Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,77.0,16.0,1.06,13.0,0.0,0.0,12.0,0.8,0
2011,174.0,36.0,2.4,61.0,230.0,3.77,60.0,4.0,124
2012,176.0,43.0,2.54,73.0,199.0,2.73,53.0,3.12,19
2013,183.0,42.0,2.48,72.0,206.0,2.86,84.0,4.94,-2
2014,174.0,41.0,2.42,67.0,301.0,4.49,52.0,3.06,-2
2015,178.0,44.0,2.6,70.0,362.0,5.17,49.0,2.88,7
2016,179.0,45.0,2.66,71.0,265.0,3.73,56.0,3.29,2
2017,184.0,49.0,2.88,73.0,256.0,3.51,56.0,3.29,8
2018,191.0,57.0,3.34,77.0,227.0,2.95,60.0,3.53,16
2019,193.0,63.0,3.69,81.0,226.0,2.79,78.0,4.59,10
