Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,165.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0
2011,394.0,9.0,0.58,20.0,-22.0,-0.0,3.0,0.19,199
2012,422.0,14.0,0.88,25.0,-40.0,-0.0,17.0,1.06,55
2013,417.0,14.0,0.88,24.0,-46.0,-0.0,13.0,0.81,0
2014,391.0,9.0,0.57,19.0,-40.0,-0.0,3.0,0.19,-35
2015,368.0,6.0,0.4,10.0,-9.0,-0.0,-6.0,-0.4,-33
2016,323.0,-34.0,-2.26,-33.0,-5.0,-0.0,-1.0,-0.07,-665
2017,300.0,2.0,0.14,4.0,-7.0,-0.0,5.0,0.33,105
2018,357.0,-2.0,-0.17,2.0,-9.0,-0.0,-3.0,-0.23,-199
2019,393.0,4.0,0.28,8.0,-5.0,-0.0,5.0,0.38,301
