Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-2.0,-0.02,-1.0,0.0,0.0,-1.0,-0.01,0
2011,1.0,-4.0,-0.04,-4.0,1.0,0.0,-7.0,-0.04,-101
2012,4.0,-4.0,-0.04,-4.0,0.0,0.0,-5.0,-0.03,0
2013,4.0,-4.0,-0.44,-4.0,-1.0,-0.0,-8.0,-0.89,0
2014,4.0,-7.0,-0.5,-8.0,-4.0,-0.0,-9.0,-0.64,-75
2015,4.0,-8.0,-0.34,-8.0,-7.0,-0.0,-11.0,-0.46,-14
2016,8.0,-10.0,-0.4,-9.0,0.0,0.0,-7.0,-0.28,-25
2017,13.0,-7.0,-0.26,-7.0,-8.0,-0.0,-9.0,-0.33,29
2018,20.0,-15.0,-0.48,-13.0,-12.0,-0.0,-13.0,-0.43,-114
2019,24.0,-16.0,-0.48,-17.0,2.0,0.0,-20.0,-0.63,-6
