Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,60.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
2011,104.0,-4.0,-4.0,2.0,11.0,5.5,-3.0,-3.0,-299
2012,111.0,2.0,2.0,9.0,3.0,0.33,2.0,2.0,150
2013,119.0,-2.0,-2.0,2.0,3.0,1.5,0.0,0.0,-199
2014,130.0,-5.0,-5.0,-6.0,4.0,0.0,-1.0,-1.0,-151
2015,135.0,2.0,2.0,6.0,5.0,0.83,-3.0,-3.0,140
2016,149.0,4.0,4.0,6.0,1.0,0.17,2.0,2.0,99
2017,151.0,2.0,2.0,5.0,2.0,0.4,-2.0,-2.0,-50
2018,161.0,-6.0,-6.0,-6.0,1.0,0.0,-2.0,-2.0,-398
2019,111.0,-13.0,-13.0,-21.0,0.0,0.0,-24.0,-24.0,-117
