Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,24.0,1.0,0.08,-3.0,0.0,0.0,-2.0,-0.15,0
2011,58.0,-8.0,-0.61,-8.0,-88.0,-0.0,-6.0,-0.46,-892
2012,75.0,-6.0,-0.43,-5.0,-85.0,-0.0,-7.0,-0.5,24
2013,72.0,-5.0,-0.35,-2.0,-82.0,-0.0,-1.0,-0.07,16
2014,76.0,-8.0,-0.56,-8.0,-80.0,-0.0,-7.0,-0.5,-60
2015,94.0,-3.0,-0.24,-3.0,-47.0,-0.0,-7.0,-0.54,62
2016,116.0,2.0,0.16,3.0,-53.0,-0.0,-4.0,-0.31,166
2017,150.0,28.0,2.0,11.0,-35.0,-0.0,9.0,0.64,1293
2018,446.0,-30.0,-2.29,-10.0,-35.0,-0.0,-4.0,-0.31,-207
2019,180.0,-11.0,-0.78,-8.0,-33.0,-0.0,-6.0,-0.43,63
