Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,315.0,61.0,0.47,102.0,1145.0,11.23,95.0,0.73,0
2011,267.0,80.0,1.1,143.0,1037.0,7.25,125.0,1.71,31
2012,251.0,76.0,0.73,96.0,666.0,6.94,147.0,1.41,-5
2013,239.0,94.0,0.63,173.0,842.0,4.87,106.0,0.73,23
2014,272.0,102.0,1.35,182.0,729.0,4.01,82.0,1.08,8
2015,285.0,96.0,0.85,168.0,655.0,3.9,102.0,0.89,-5
2016,291.0,100.0,0.87,179.0,560.0,3.13,109.0,0.94,4
2017,319.0,102.0,0.88,204.0,434.0,2.13,139.0,1.2,1
2018,390.0,150.0,1.15,225.0,584.0,2.6,161.0,1.25,47
2019,493.0,206.0,1.45,284.0,268.0,0.94,201.0,1.45,37
