Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,17.0,2.0,0.22,1.0,0.0,0.0,2.0,0.22,0
2011,36.0,4.0,0.44,10.0,-10.0,-0.0,15.0,1.67,99
2012,35.0,5.0,0.55,15.0,-13.0,-0.0,4.0,0.44,24
2013,40.0,6.0,0.6,16.0,-20.0,-0.0,10.0,1.0,19
2014,46.0,4.0,0.4,12.0,-16.0,-0.0,13.0,1.3,-33
2015,49.0,9.0,0.9,20.0,-18.0,-0.0,12.0,1.2,124
2016,54.0,14.0,1.27,28.0,-23.0,-0.0,7.0,0.64,55
2017,65.0,13.0,1.07,31.0,-33.0,-0.0,19.0,1.58,-7
2018,72.0,19.0,1.44,33.0,-9.0,-0.0,24.0,1.85,46
2019,74.0,20.0,1.52,33.0,-19.0,-0.0,16.0,1.23,5
