Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,114.0,5.0,0.35,10.0,0.0,0.0,21.0,1.5,0
2011,521.0,9.0,0.63,20.0,39.0,1.95,3.0,0.21,79
2012,549.0,13.0,0.85,31.0,31.0,1.0,16.0,1.07,44
2013,689.0,-3.0,-0.22,0.0,38.0,0.0,10.0,0.71,-123
2014,780.0,0.0,0.0,-9.0,36.0,0.0,16.0,0.94,100
2015,854.0,25.0,1.46,50.0,33.0,0.66,20.0,1.18,249900
2016,934.0,36.0,2.09,68.0,7.0,0.1,40.0,2.35,43
2017,1074.0,35.0,2.04,68.0,15.0,0.22,17.0,1.0,-2
2018,1087.0,31.0,1.82,68.0,15.0,0.22,33.0,1.94,-11
2019,1195.0,35.0,2.04,72.0,-1.0,-0.0,55.0,3.24,12
2020,1210.0,30.0,1.76,62.0,29.0,0.47,39.0,2.29,-14
