Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2011,0.0,-25.0,-1.25,-11.0,-4.0,-0.0,-25.0,-1.25,-2425
2012,0.0,-14.0,-0.56,-16.0,-3.0,-0.0,-15.0,-0.6,43
2013,0.0,-8.0,-0.26,-18.0,0.0,0.0,-15.0,-0.5,42
2014,0.0,-26.0,-0.44,-26.0,-7.0,-0.0,-25.0,-0.43,-225
2015,0.0,-32.0,-0.4,-32.0,-4.0,-0.0,-25.0,-0.3,-23
2016,0.0,-10.0,-2.5,-21.0,-2.0,-0.0,-23.0,-5.75,68
2017,0.0,-13.0,-1.85,-18.0,-1.0,-0.0,-13.0,-1.86,-30
2018,0.0,-30.0,-1.76,-12.0,-10.0,-0.0,-12.0,-0.71,-130
2019,4.0,-21.0,-0.66,-18.0,-8.0,-0.0,-18.0,-0.58,29
2020,4.0,-27.0,-0.83,-23.0,-9.0,-0.0,-18.0,-0.51,-28
