Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,4.0,-4.0,-0.32,-4.0,-6.0,-0.0,-8.0,-0.62,0
2011,4.0,-7.0,-0.25,-4.0,-2.0,-0.0,-9.0,-0.32,-75
2012,4.0,-4.0,-0.12,-4.0,1.0,0.0,-8.0,-0.22,42
2013,4.0,-17.0,-4.25,-4.0,1.0,0.0,-6.0,-1.5,-326
2014,4.0,-5.0,-1.0,-4.0,1.0,0.0,-6.0,-1.2,70
2015,4.0,-7.0,-1.01,-6.0,0.0,0.0,-8.0,-1.14,-40
2016,4.0,-9.0,-0.59,-9.0,-1.0,-0.0,-8.0,-0.53,-28
2017,10.0,-5.0,-0.21,-5.0,-15.0,-0.0,-8.0,-0.35,44
2018,18.0,-8.0,-0.28,-6.0,-31.0,-0.0,-8.0,-0.29,-60
2019,32.0,-17.0,-0.51,-12.0,-94.0,-0.0,-6.0,-0.18,-112
