Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,27.0,8.0,0.66,7.0,0.0,0.0,9.0,0.75,0
2011,62.0,21.0,1.76,34.0,112.0,3.29,34.0,2.83,162
2012,64.0,20.0,1.68,33.0,67.0,2.03,22.0,1.83,-4
2013,60.0,16.0,1.32,27.0,81.0,3.0,26.0,2.17,-20
2014,55.0,16.0,1.32,24.0,64.0,2.67,16.0,1.33,0
2015,56.0,15.0,1.24,23.0,77.0,3.35,14.0,1.17,-6
2016,56.0,14.0,1.16,22.0,47.0,2.14,12.0,1.0,-6
2017,56.0,11.0,0.91,22.0,45.0,2.05,14.0,1.17,-21
2018,65.0,20.0,1.65,27.0,27.0,1.0,20.0,1.67,81
2019,71.0,18.0,1.48,25.0,59.0,2.36,17.0,1.42,-10
