Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,14574.0,-418.0,-0.49,1049.0,0.0,0.0,1341.0,1.58,0
2010,31755.0,593.0,0.7,3695.0,11642.0,3.15,1490.0,1.79,241
2011,35115.0,854.0,1.01,3454.0,10494.0,3.04,1580.0,1.89,44
2012,36670.0,1009.0,1.18,3713.0,9790.0,2.64,508.0,0.6,18
2013,37773.0,10540.0,12.39,5037.0,7536.0,1.5,1936.0,2.28,944
2014,40362.0,659.0,0.77,3493.0,6472.0,1.85,2698.0,3.23,-93
2015,40704.0,4526.0,5.65,9473.0,4892.0,0.52,4982.0,6.25,586
2016,39450.0,4195.0,5.56,8627.0,4514.0,0.52,3824.0,5.09,-7
2017,41138.0,3205.0,4.42,8118.0,7262.0,0.89,1132.0,1.57,-23
2018,44438.0,3935.0,5.67,7753.0,9281.0,1.2,1846.0,2.67,22
2019,47007.0,4767.0,7.3,8961.0,9014.0,1.01,3489.0,5.36,21
2020,45127.0,3503.0,5.35,7679.0,12132.0,1.58,2319.0,3.64,-26
