Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1876.0,164.0,1.06,299.0,79.0,0.26,161.0,1.04,0
2011,2292.0,223.0,1.45,383.0,-7.0,-0.0,185.0,1.2,35
2012,2491.0,261.0,1.74,441.0,-17.0,-0.0,183.0,1.22,17
2013,2435.0,245.0,1.66,421.0,-114.0,-0.0,223.0,1.51,-6
2014,2472.0,258.0,1.78,436.0,7.0,0.02,220.0,1.52,5
2015,2369.0,206.0,1.5,376.0,362.0,0.96,119.0,0.87,-20
2016,2219.0,189.0,1.43,351.0,323.0,0.92,215.0,1.62,-8
2017,2371.0,232.0,1.76,415.0,302.0,0.73,247.0,1.87,22
2018,2732.0,179.0,1.35,459.0,338.0,0.74,167.0,1.27,-22
2019,2843.0,266.0,1.98,474.0,459.0,0.97,195.0,1.47,48
2020,2773.0,262.0,1.99,470.0,468.0,1.0,216.0,1.69,-1
