Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-2.0,-0.02,-2.0,0.0,0.0,-1.0,-0.02,0
2011,1.0,-6.0,-0.07,-6.0,0.0,0.0,-5.0,-0.07,-201
2012,2.0,-6.0,-6.0,-16.0,3.0,0.0,-4.0,-4.0,0
2013,0.0,-2.0,-2.0,-2.0,0.0,0.0,-4.0,-4.0,66
2014,0.0,-13.0,-13.0,-15.0,-21.0,-0.0,-8.0,-8.0,-553
2015,0.0,-5.0,-5.0,-5.0,1.0,0.0,-6.0,-6.0,61
2016,0.0,-16.0,-16.0,-16.0,1.0,0.0,-7.0,-7.0,-220
2017,0.0,-2.0,-2.0,-2.0,-7.0,-0.0,-14.0,-14.0,87
2018,0.0,-16.0,-16.0,-17.0,-7.0,-0.0,-9.0,-9.0,-704
2019,0.0,-9.0,-16.0,-9.0,-14.0,-0.0,-8.0,0.0,43
