Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,12.0,-2.0,-0.12,-1.0,0.0,0.0,-3.0,-0.19,0
2011,17.0,-3.0,-1.5,-2.0,-2.0,-0.0,-2.0,-1.0,-50
2012,15.0,-1.0,-0.5,0.0,2.0,0.0,-4.0,-2.0,66
2013,16.0,-2.0,-1.0,0.0,2.0,0.0,-6.0,-3.0,-102
2014,15.0,-9.0,-4.5,-9.0,2.0,0.0,-7.0,-3.5,-352
2015,19.0,-11.0,-2.75,-10.0,-5.0,-0.0,-10.0,-2.5,-22
2016,15.0,-11.0,-2.2,-11.0,2.0,0.0,-9.0,-1.8,0
2017,12.0,-11.0,-1.83,-8.0,3.0,0.0,-10.0,-1.67,0
2018,9.0,-13.0,-1.62,-11.0,-3.0,-0.0,-10.0,-1.25,-18
2019,8.0,-9.0,-0.81,-9.0,0.0,0.0,-5.0,-0.45,30
