Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,675.0,28.0,0.86,157.0,0.0,0.0,42.0,1.31,0
2011,1074.0,74.0,4.33,264.0,1358.0,5.14,209.0,12.29,164
2012,848.0,125.0,6.93,256.0,1145.0,4.47,203.0,11.28,68
2013,639.0,70.0,3.88,251.0,1101.0,4.39,123.0,6.83,-44
2014,653.0,35.0,4.37,253.0,1172.0,4.63,112.0,14.0,-50
2015,679.0,103.0,5.7,265.0,1135.0,4.28,137.0,7.61,194
2016,1398.0,99.0,5.48,252.0,1142.0,4.53,112.0,6.22,-3
2017,1308.0,-344.0,7.34,-346.0,1164.0,0.0,55.0,-1.17,-447
2018,1408.0,78.0,4.57,209.0,1162.0,5.56,127.0,7.47,122
2019,1841.0,102.0,5.98,252.0,1172.0,4.65,138.0,8.12,30
2020,1919.0,93.0,5.53,477.0,1175.0,2.46,138.0,8.63,-8
