Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,3458.0,564.0,1.33,2151.0,2872.0,1.34,587.0,1.38,0
2010,3706.0,669.0,1.56,2138.0,3152.0,1.47,619.0,1.44,18
2011,4168.0,1133.0,2.8,2823.0,3197.0,1.13,1042.0,2.57,69
2012,4487.0,945.0,1.25,2854.0,4042.0,1.42,1022.0,1.35,-16
2013,5535.0,1077.0,1.49,3490.0,6091.0,1.75,1170.0,1.62,13
2014,6265.0,1137.0,1.66,3938.0,6742.0,1.71,1198.0,1.74,5
2015,6394.0,1048.0,1.59,3927.0,7345.0,1.87,1191.0,1.82,-7
2016,6497.0,1218.0,2.0,4157.0,7623.0,1.83,1292.0,2.12,16
2017,6873.0,-313.0,-0.54,2843.0,7476.0,2.63,1494.0,2.59,-125
2018,11054.0,681.0,0.97,6500.0,16059.0,2.47,2497.0,3.63,317
2019,11212.0,2213.0,3.08,7201.0,13867.0,1.93,3114.0,4.38,224
