Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,5.0,2.0,0.34,1.0,0.0,0.0,0.0,0.0,0
2011,10.0,4.0,0.68,4.0,-1.0,-0.0,-2.0,-0.33,99
2012,6.0,0.0,0.0,0.0,-1.0,0.0,-4.0,-0.67,-100
2013,8.0,-2.0,-0.34,0.0,-1.0,0.0,-4.0,-0.67,-20099
2014,8.0,-2.0,-0.34,-2.0,-2.0,-0.0,-2.0,-0.33,0
2015,6.0,-4.0,-0.68,-4.0,-1.0,-0.0,-4.0,-0.67,-101
2016,5.0,-2.0,-0.34,-2.0,1.0,0.0,-2.0,-0.33,49
2017,8.0,-9.0,-0.75,-2.0,1.0,0.0,-9.0,-0.75,-352
2018,47.0,-31.0,-15.5,-5.0,5.0,0.0,-16.0,-8.0,-244
2019,45.0,-32.0,-22.4,-14.0,5.0,0.0,-11.0,-11.0,-3
